,Treatment,Soil.Type,Sample.Type,Sample.Group
AG,NA,AG,Inoculant Soils,AG
VG.,NA,VG,Inoculant Soils,VG
14.SS.AG.1,SS,AG,Rhizosphere Soils,SS AG
8.SS.AG.14,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.13,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.2,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.9,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.15,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.10,SS,AG,Rhizosphere Soils,SS AG
14.SS.AG.8,SS,AG,Rhizosphere Soils,SS AG
12.SS.AG.4,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.11,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.2,SS,AG,Rhizosphere Soils,SS AG
14.SS.AG.6,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.13,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.10,SS,AG,Rhizosphere Soils,SS AG
38.SS.AG.4,SS,AG,Rhizosphere Soils,SS AG
25.SS.AG.10,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.3,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.2,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.6,SS,AG,Rhizosphere Soils,SS AG
14.SS.AG.12,SS,AG,Rhizosphere Soils,SS AG
38.SS.AG.11,SS,AG,Rhizosphere Soils,SS AG
8.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.8,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.8,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.10,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.3,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.4,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.1,SS,AG,Rhizosphere Soils,SS AG
38.SS.AG.9.,SS,AG,Rhizosphere Soils,SS AG
12.SS.AG.14,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.9,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.8,SS,AG,Rhizosphere Soils,SS AG
12.SS.AG.13,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.11,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.12,SS,AG,Rhizosphere Soils,SS AG
38.SS.AG.2,SS,AG,Rhizosphere Soils,SS AG
25.SS.AG.1,SS,AG,Rhizosphere Soils,SS AG
12.SS.AG.6,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
25.SS.AG.2,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.12,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
25.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.10,SS,AG,Rhizosphere Soils,SS AG
38.SS.AG.15,SS,AG,Rhizosphere Soils,SS AG
14.SS.AG.14,SS,AG,Rhizosphere Soils,SS AG
25.SS.AG.12,SS,AG,Rhizosphere Soils,SS AG
12.SS.AG.15,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.4,SS,AG,Rhizosphere Soils,SS AG
8.SS.AG.1,SS,AG,Rhizosphere Soils,SS AG
8.SS.AG.13,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.9,SS,AG,Rhizosphere Soils,SS AG
8.SS.AG.9,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.12,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.13,SS,AG,Rhizosphere Soils,SS AG
8.SS.AG.4,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
14.SS.AG.10,SS,AG,Rhizosphere Soils,SS AG
12.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
38.SS.AG.9,SS,AG,Rhizosphere Soils,SS AG
22.SS.AG.5,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.1,SS,AG,Rhizosphere Soils,SS AG
14.SS.AG.3,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
10.SS.AG.7,SS,AG,Rhizosphere Soils,SS AG
12.SS.AG.1,SS,AG,Rhizosphere Soils,SS AG
38.SS.AG.8,SS,AG,Rhizosphere Soils,SS AG
8.SS.AG.6,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.4,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.5,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.3,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.12,SS,AG,Rhizosphere Soils,SS AG
26.SS.AG.1,SS,AG,Rhizosphere Soils,SS AG
37.SS.AG.13,SS,AG,Rhizosphere Soils,SS AG
15.SS.AG.14,SS,AG,Rhizosphere Soils,SS AG
25.SS.AG.3,SS,AG,Rhizosphere Soils,SS AG
15.SS.VG.9,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.12,SS,VG,Rhizosphere Soils,SS VG
25.SS.VG.14,SS,VG,Rhizosphere Soils,SS VG
15.SS.VG.11,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.3,SS,VG,Rhizosphere Soils,SS VG
8.SS.VG.9,SS,VG,Rhizosphere Soils,SS VG
22.SS.VG.6,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.2,SS,VG,Rhizosphere Soils,SS VG
15.SS.VG.12,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.11,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.9,SS,VG,Rhizosphere Soils,SS VG
26.SS.VG.4,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.1,SS,VG,Rhizosphere Soils,SS VG
25.SS.VG.15,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.12,SS,VG,Rhizosphere Soils,SS VG
14.SS.VG.7,SS,VG,Rhizosphere Soils,SS VG
15.SS.VG.2,SS,VG,Rhizosphere Soils,SS VG
15.SS.VG.7.,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.9,SS,VG,Rhizosphere Soils,SS VG
14.SS.VG.4,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.7,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.14,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.15,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.11,SS,VG,Rhizosphere Soils,SS VG
8.SS.VG.6,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.1,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.2,SS,VG,Rhizosphere Soils,SS VG
14.SS.VG.9,SS,VG,Rhizosphere Soils,SS VG
14.SS.VG.5,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.10,SS,VG,Rhizosphere Soils,SS VG
26.SS.VG.6,SS,VG,Rhizosphere Soils,SS VG
22.SS.VG.3,SS,VG,Rhizosphere Soils,SS VG
15.SS.VG.6,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.4,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.1,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.12,SS,VG,Rhizosphere Soils,SS VG
22.SS.VG.12,SS,VG,Rhizosphere Soils,SS VG
10.SS.VG.10.,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.11,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.11,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.5,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.4,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.6,SS,VG,Rhizosphere Soils,SS VG
14.SS.VG.2,SS,VG,Rhizosphere Soils,SS VG
8.SS.VG.2,SS,VG,Rhizosphere Soils,SS VG
25.SS.VG.7,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.14,SS,VG,Rhizosphere Soils,SS VG
26.SS.VG.11,SS,VG,Rhizosphere Soils,SS VG
26.SS.VG.10,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.3,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.5,SS,VG,Rhizosphere Soils,SS VG
15.SS.VG.5,SS,VG,Rhizosphere Soils,SS VG
22.SS.VG.13,SS,VG,Rhizosphere Soils,SS VG
15.SS.VG.8,SS,VG,Rhizosphere Soils,SS VG
14.SS.VG.1,SS,VG,Rhizosphere Soils,SS VG
8.SS.VG.14,SS,VG,Rhizosphere Soils,SS VG
8.SS.VG.5,SS,VG,Rhizosphere Soils,SS VG
26.SS.VG.2,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.9,SS,VG,Rhizosphere Soils,SS VG
37.SS.VG.7,SS,VG,Rhizosphere Soils,SS VG
8.SS.VG.8,SS,VG,Rhizosphere Soils,SS VG
22.SS.VG.14,SS,VG,Rhizosphere Soils,SS VG
12.SS.VG.3,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.10,SS,VG,Rhizosphere Soils,SS VG
25.SS.VG.12,SS,VG,Rhizosphere Soils,SS VG
22.SS.VG.10,SS,VG,Rhizosphere Soils,SS VG
22.SS.VG.5,SS,VG,Rhizosphere Soils,SS VG
26.SS.VG.7,SS,VG,Rhizosphere Soils,SS VG
25.SS.VG.13,SS,VG,Rhizosphere Soils,SS VG
38.SS.VG.12.,SS,VG,Rhizosphere Soils,SS VG
25.SS.VG.1,SS,VG,Rhizosphere Soils,SS VG
8.SS.VG.12,SS,VG,Rhizosphere Soils,SS VG
14.SS.VG.13,SS,VG,Rhizosphere Soils,SS VG
25.SS.VG.3,SS,VG,Rhizosphere Soils,SS VG
22.TS.AG.2,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.15,TS,AG,Rhizosphere Soils,TS AG
15.TS.AG.3,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.13,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.2,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
25.TS.AG.15,TS,AG,Rhizosphere Soils,TS AG
10.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.3,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.10,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
25.TS.AG.1,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.13,TS,AG,Rhizosphere Soils,TS AG
10.TS.AG.11,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.9,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.5,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.15.,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
10.TS.AG.1,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.4,TS,AG,Rhizosphere Soils,TS AG
15.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.5,TS,AG,Rhizosphere Soils,TS AG
15.TS.AG.12,TS,AG,Rhizosphere Soils,TS AG
10.TS.AG.4,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.14,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.10,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.15,TS,AG,Rhizosphere Soils,TS AG
25.TS.AG.12,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.3,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.8,TS,AG,Rhizosphere Soils,TS AG
37.TS.AG.5,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.4,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.4,TS,AG,Rhizosphere Soils,TS AG
15.TS.AG.10,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.8,TS,AG,Rhizosphere Soils,TS AG
37.TS.AG.14,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.14,TS,AG,Rhizosphere Soils,TS AG
25.TS.AG.13,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.1,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.9,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.11,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.9,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.12,TS,AG,Rhizosphere Soils,TS AG
25.TS.AG.11,TS,AG,Rhizosphere Soils,TS AG
37.TS.AG.10,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.8,TS,AG,Rhizosphere Soils,TS AG
15.TS.AG.5,TS,AG,Rhizosphere Soils,TS AG
37.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
15.TS.AG.1,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.14,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.2,TS,AG,Rhizosphere Soils,TS AG
38.TS.AG.2,TS,AG,Rhizosphere Soils,TS AG
10.TS.AG.3,TS,AG,Rhizosphere Soils,TS AG
25.TS.AG.10,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.5,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.1,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.9,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.15,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.15,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.6,TS,AG,Rhizosphere Soils,TS AG
8.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
37.TS.AG.3,TS,AG,Rhizosphere Soils,TS AG
26.TS.AG.11,TS,AG,Rhizosphere Soils,TS AG
15.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
12.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
10.TS.AG.5,TS,AG,Rhizosphere Soils,TS AG
25.TS.AG.7,TS,AG,Rhizosphere Soils,TS AG
14.TS.AG.3,TS,AG,Rhizosphere Soils,TS AG
22.TS.AG.5,TS,AG,Rhizosphere Soils,TS AG
8.TS.VG.7,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.2,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.11,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.3,TS,VG,Rhizosphere Soils,TS VG
8.TS.VG.14,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.3,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.15.,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.9,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.5,TS,VG,Rhizosphere Soils,TS VG
38.TS.VG.9,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.12,TS,VG,Rhizosphere Soils,TS VG
38.TS.VG.2,TS,VG,Rhizosphere Soils,TS VG
38.TS.VG.5,TS,VG,Rhizosphere Soils,TS VG
8.TS.VG.1,TS,VG,Rhizosphere Soils,TS VG
8.TS.VG.13,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.4,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.3,TS,VG,Rhizosphere Soils,TS VG
10.TS.VG.2,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.5,TS,VG,Rhizosphere Soils,TS VG
15.TS.VG.1,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.7,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.4,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.6,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.14,TS,VG,Rhizosphere Soils,TS VG
15.TS.VG.12,TS,VG,Rhizosphere Soils,TS VG
10.TS.VG.9,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.11,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.15,TS,VG,Rhizosphere Soils,TS VG
8.TS.VG.12,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.4,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.12,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.15,TS,VG,Rhizosphere Soils,TS VG
15.TS.VG.9,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.10.,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.10,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.13,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.9,TS,VG,Rhizosphere Soils,TS VG
15.TS.VG.5,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.10,TS,VG,Rhizosphere Soils,TS VG
8.TS.VG.11,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.10,TS,VG,Rhizosphere Soils,TS VG
8.TS.VG.15,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.13,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.1,TS,VG,Rhizosphere Soils,TS VG
37.TS.AG.12,TS,VG,Rhizosphere Soils,TS VG
38.TS.VG.10,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.3,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.3,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.1,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.5,TS,VG,Rhizosphere Soils,TS VG
15.TS.VG.11,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.4,TS,VG,Rhizosphere Soils,TS VG
38.TS.VG.15,TS,VG,Rhizosphere Soils,TS VG
38.TS.VG.4,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.6,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.7,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.6,TS,VG,Rhizosphere Soils,TS VG
38.TS.VG.14,TS,VG,Rhizosphere Soils,TS VG
10.TS.VG.6,TS,VG,Rhizosphere Soils,TS VG
15.TS.VG.6,TS,VG,Rhizosphere Soils,TS VG
10.TS.VG.12,TS,VG,Rhizosphere Soils,TS VG
15.TS.VG.10,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.14,TS,VG,Rhizosphere Soils,TS VG
14.TS.VG.8,TS,VG,Rhizosphere Soils,TS VG
8.TS.VG.3,TS,VG,Rhizosphere Soils,TS VG
10.TS.VG.15,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.13,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.13,TS,VG,Rhizosphere Soils,TS VG
10.TS.VG.5,TS,VG,Rhizosphere Soils,TS VG
12.TS.VG.9,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.12,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.2,TS,VG,Rhizosphere Soils,TS VG
25.TS.VG.14,TS,VG,Rhizosphere Soils,TS VG
37.TS.VG.14,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.15,TS,VG,Rhizosphere Soils,TS VG
10.TS.VG.3,TS,VG,Rhizosphere Soils,TS VG
26.TS.VG.9,TS,VG,Rhizosphere Soils,TS VG
22.TS.VG.11,TS,VG,Rhizosphere Soils,TS VG
25.TS.,,,Tare Soils,TS
38.TS,,,Tare Soils,TS
8.TS,,,Tare Soils,TS
15.TS.,,,Tare Soils,TS
12.TS,,,Tare Soils,TS
10.TS,,,Tare Soils,TS
14.TS,,,Tare Soils,TS
22.TS,,,Tare Soils,TS
37.TS,,,Tare Soils,TS
26.TS,,,Tare Soils,TS
